cfg_wr_period,cfg_wr_thresh,cfg_sma_period,cfg_mfi_filter,cfg_rsi_filter,cfg_vol_filter,cfg_dd_filter,cfg_streak_filter,cfg_exit_mode,cfg_max_hold,cfg_profit_target,label,is_n,is_avg,is_win,is_sharpe,is_pf,oos_n,oos_avg,oos_win,oos_sharpe,oos_pf,avg_hold,avg_peak,avg_dd,cfg_stop_loss,cfg_trail_atr,cfg_hold_days,cfg_breadth_mode
30,-30,20,accumulating,oversold,,moderate,,bbw_pt,30.0,5.0,"WR(30,-30) | MFI:accumulating | RSI:oversold | DD:moderate | bbw_pt | PT5%",14,-0.7339,57.1,-0.81,0.62,10,2.4185,70.0,3.64,4.97,11.4,2.56,-3.58,,,,
30,-30,20,accumulating,oversold,not_dry,,,bbw_pt,30.0,5.0,"WR(30,-30) | MFI:accumulating | RSI:oversold | VOL:not_dry | bbw_pt | PT5%",14,-1.2115,42.9,-1.39,0.4,10,2.4185,70.0,3.64,4.97,11.9,2.38,-3.82,,,,
30,-30,20,accumulating,oversold,not_dry,moderate,,bbw_pt,30.0,5.0,"WR(30,-30) | MFI:accumulating | RSI:oversold | VOL:not_dry | DD:moderate | bbw_pt | PT5%",14,-0.688,57.1,-0.75,0.64,10,2.4185,70.0,3.64,4.97,11.4,2.59,-3.58,,,,
30,-40,20,accumulating,oversold,,,,bbw_pt,30.0,5.0,"WR(30,-40) | MFI:accumulating | RSI:oversold | bbw_pt | PT5%",14,-1.2115,42.9,-1.39,0.4,10,2.4185,70.0,3.64,4.97,11.9,2.38,-3.82,,,,
30,-40,20,accumulating,oversold,,moderate,,bbw_pt,30.0,5.0,"WR(30,-40) | MFI:accumulating | RSI:oversold | DD:moderate | bbw_pt | PT5%",14,-0.7339,57.1,-0.81,0.62,10,2.4185,70.0,3.64,4.97,11.4,2.56,-3.58,,,,
30,-40,20,accumulating,oversold,not_dry,,,bbw_pt,30.0,5.0,"WR(30,-40) | MFI:accumulating | RSI:oversold | VOL:not_dry | bbw_pt | PT5%",14,-1.2115,42.9,-1.39,0.4,10,2.4185,70.0,3.64,4.97,11.9,2.38,-3.82,,,,
30,-40,20,accumulating,oversold,not_dry,moderate,,bbw_pt,30.0,5.0,"WR(30,-40) | MFI:accumulating | RSI:oversold | VOL:not_dry | DD:moderate | bbw_pt | PT5%",14,-0.688,57.1,-0.75,0.64,10,2.4185,70.0,3.64,4.97,11.4,2.59,-3.58,,,,
30,-30,20,not_weak,,,deep,,fixed,,,"WR(30,-30) | MFI:not_weak | DD:deep | fixed",21,3.4935,66.7,2.51,3.78,14,5.3964,85.7,3.61,6.99,15.0,8.5,-2.99,,,15.0,
30,-40,20,not_weak,,,deep,,fixed,,,"WR(30,-40) | MFI:not_weak | DD:deep | fixed",21,3.5456,66.7,2.54,3.83,14,5.3964,85.7,3.61,6.99,15.0,8.58,-2.93,,,15.0,
30,-30,20,accumulating,oversold,,,,bbw_contract,30.0,,"WR(30,-30) | MFI:accumulating | RSI:oversold | bbw_contract",14,-1.2115,42.9,-1.39,0.4,10,2.5156,70.0,3.6,5.13,13.1,2.73,-3.82,,,,
30,-30,20,accumulating,oversold,,moderate,,bbw_contract,30.0,,"WR(30,-30) | MFI:accumulating | RSI:oversold | DD:moderate | bbw_contract",14,-0.7339,57.1,-0.81,0.62,10,2.5156,70.0,3.6,5.13,12.6,2.91,-3.58,,,,
30,-30,20,accumulating,oversold,not_dry,,,bbw_contract,30.0,,"WR(30,-30) | MFI:accumulating | RSI:oversold | VOL:not_dry | bbw_contract",14,-1.2115,42.9,-1.39,0.4,10,2.5156,70.0,3.6,5.13,13.1,2.73,-3.82,,,,
30,-30,20,accumulating,oversold,not_dry,moderate,,bbw_contract,30.0,,"WR(30,-30) | MFI:accumulating | RSI:oversold | VOL:not_dry | DD:moderate | bbw_contract",14,-0.688,57.1,-0.75,0.64,10,2.5156,70.0,3.6,5.13,12.6,2.94,-3.58,,,,
30,-40,20,accumulating,oversold,,,,bbw_contract,30.0,,"WR(30,-40) | MFI:accumulating | RSI:oversold | bbw_contract",14,-1.2115,42.9,-1.39,0.4,10,2.5156,70.0,3.6,5.13,13.1,2.73,-3.82,,,,
30,-40,20,accumulating,oversold,,moderate,,bbw_contract,30.0,,"WR(30,-40) | MFI:accumulating | RSI:oversold | DD:moderate | bbw_contract",14,-0.7339,57.1,-0.81,0.62,10,2.5156,70.0,3.6,5.13,12.6,2.91,-3.58,,,,
30,-40,20,accumulating,oversold,not_dry,,,bbw_contract,30.0,,"WR(30,-40) | MFI:accumulating | RSI:oversold | VOL:not_dry | bbw_contract",14,-1.2115,42.9,-1.39,0.4,10,2.5156,70.0,3.6,5.13,13.1,2.73,-3.82,,,,
30,-40,20,accumulating,oversold,not_dry,moderate,,bbw_contract,30.0,,"WR(30,-40) | MFI:accumulating | RSI:oversold | VOL:not_dry | DD:moderate | bbw_contract",14,-0.688,57.1,-0.75,0.64,10,2.5156,70.0,3.6,5.13,12.6,2.94,-3.58,,,,
30,-30,20,not_weak,,,moderate,any,bbw_contract,30.0,,"WR(30,-30) | MFI:not_weak | DD:moderate | STR:any | bbw_contract | TR3.0ATR",33,2.6311,72.7,1.84,2.81,23,3.9086,82.6,3.59,8.33,10.3,5.76,-2.09,,3.0,,
30,-30,20,accumulating,,,moderate,,bbw_contract,30.0,,"WR(30,-30) | MFI:accumulating | DD:moderate | bbw_contract | SL8%",32,2.0896,75.0,1.45,2.6,22,2.9859,81.8,3.59,7.75,10.9,4.3,-3.08,8.0,,,
