cfg_wr_period,cfg_wr_thresh,cfg_sma_period,cfg_mfi_filter,cfg_bbw_filter,cfg_adx_filter,cfg_adx_mode,cfg_exit_mode,cfg_max_hold,label,is_n,is_avg,is_win,is_sharpe,is_pf,oos_n,oos_avg,oos_win,oos_sharpe,oos_pf,avg_hold,avg_peak,avg_dd,cfg_hold_days
20,-50,10,accumulating,not_expanded,25.0,below,fixed,,"WR(20,-50) SMA10 MFI:accumulating BBW:not_expanded ADXb25 fixed10",27,0.9306,51.9,0.69,1.48,18,3.6407,83.3,4.27,12.95,10.0,4.6,-2.49,10.0
30,-30,20,not_weak,not_expanded,20.0,above,bbw_contract,30.0,"WR(30,-30) SMA20 MFI:not_weak BBW:not_expanded ADXa20 bbw_contract",29,1.0412,72.4,1.04,1.97,20,2.7554,90.0,4.27,15.41,12.0,3.47,-2.77,
30,-30,10,accumulating,squeeze,25.0,below,fixed,,"WR(30,-30) SMA10 MFI:accumulating BBW:squeeze ADXb25 fixed15",16,1.6701,62.5,1.14,2.01,12,4.5813,83.3,4.26,19.09,15.0,5.79,-2.4,15.0
30,-40,20,not_weak,not_expanded,20.0,above,sma_break,25.0,"WR(30,-40) SMA20 MFI:not_weak BBW:not_expanded ADXa20 sma_break",27,0.846,81.5,0.91,1.82,19,1.9874,89.5,4.26,9.7,8.9,2.44,-2.6,
30,-40,10,,not_expanded,20.0,above,bbw_contract,30.0,"WR(30,-40) SMA10 BBW:not_expanded ADXa20 bbw_contract",30,1.2585,70.0,1.25,2.11,21,2.6182,90.5,4.25,12.07,11.3,3.91,-2.59,
14,-40,10,accumulating,not_expanded,20.0,above,bbw_contract,30.0,"WR(14,-40) SMA10 MFI:accumulating BBW:not_expanded ADXa20 bbw_contract",25,0.8063,56.0,0.56,1.53,18,1.6855,77.8,4.23,11.18,11.3,3.36,-3.0,
20,-40,10,accumulating,not_expanded,20.0,above,bbw_contract,30.0,"WR(20,-40) SMA10 MFI:accumulating BBW:not_expanded ADXa20 bbw_contract",21,0.4977,52.4,0.32,1.29,14,1.7234,78.6,4.23,10.67,12.3,3.48,-3.28,
20,-40,20,,not_expanded,20.0,above,bbw_contract,30.0,"WR(20,-40) SMA20 BBW:not_expanded ADXa20 bbw_contract",30,0.8765,70.0,0.89,1.8,20,2.7277,90.0,4.23,15.27,12.5,3.46,-2.85,
20,-50,10,accumulating,not_expanded,25.0,below,fixed,,"WR(20,-50) SMA10 MFI:accumulating BBW:not_expanded ADXb25 fixed15",23,2.0799,69.6,1.39,2.23,16,3.9169,81.2,4.22,19.83,15.0,5.85,-2.58,15.0
20,-40,20,not_weak,not_expanded,20.0,above,fixed,,"WR(20,-40) SMA20 MFI:not_weak BBW:not_expanded ADXa20 fixed20",25,1.5191,64.0,1.15,1.86,17,4.6379,82.4,4.21,10.8,20.0,5.82,-3.16,20.0
14,-50,20,accumulating,not_expanded,25.0,below,fixed,,"WR(14,-50) SMA20 MFI:accumulating BBW:not_expanded ADXb25 fixed15",22,1.8778,63.6,1.18,2.05,16,3.84,87.5,4.2,30.36,15.0,5.79,-2.51,15.0
30,-30,10,,not_expanded,20.0,above,fixed,,"WR(30,-30) SMA10 BBW:not_expanded ADXa20 fixed20",27,1.3137,59.3,1.11,1.79,18,4.4793,83.3,4.19,10.35,20.0,5.59,-3.04,20.0
14,-30,10,accumulating,squeeze,25.0,below,fixed,,"WR(14,-30) SMA10 MFI:accumulating BBW:squeeze ADXb25 fixed15",16,1.6872,62.5,1.14,1.99,12,4.4216,83.3,4.17,18.46,15.0,5.7,-2.41,15.0
14,-30,20,,not_expanded,20.0,above,bbw_contract,30.0,"WR(14,-30) SMA20 BBW:not_expanded ADXa20 bbw_contract",30,0.8763,70.0,0.89,1.8,21,2.5674,90.5,4.17,15.1,12.4,3.46,-2.84,
20,-30,10,accumulating,squeeze,25.0,below,fixed,,"WR(20,-30) SMA10 MFI:accumulating BBW:squeeze ADXb25 fixed15",16,1.6872,62.5,1.14,1.99,12,4.4216,83.3,4.17,18.46,15.0,5.7,-2.41,15.0
20,-30,20,,not_expanded,20.0,above,bbw_contract,30.0,"WR(20,-30) SMA20 BBW:not_expanded ADXa20 bbw_contract",30,0.8763,70.0,0.89,1.8,21,2.5674,90.5,4.17,15.1,12.4,3.46,-2.84,
20,-50,10,accumulating,squeeze,25.0,below,fixed,,"WR(20,-50) SMA10 MFI:accumulating BBW:squeeze ADXb25 fixed15",14,1.2471,57.1,0.77,1.57,10,4.5378,90.0,4.17,32.5,15.0,5.7,-2.84,15.0
20,-40,20,not_weak,not_expanded,20.0,above,bbw_contract,30.0,"WR(20,-40) SMA20 MFI:not_weak BBW:not_expanded ADXa20 bbw_contract",29,0.8505,69.0,0.85,1.76,20,2.698,90.0,4.16,15.11,12.4,3.42,-2.88,
14,-50,20,,not_expanded,20.0,above,sma_break,25.0,"WR(14,-50) SMA20 BBW:not_expanded ADXa20 sma_break",33,0.9213,81.8,1.1,2.05,22,2.7263,95.5,4.15,20.82,8.3,2.64,-2.31,
20,-40,10,,not_expanded,20.0,above,fixed,,"WR(20,-40) SMA10 BBW:not_expanded ADXa20 fixed20",26,1.0673,57.7,0.83,1.59,18,4.4295,83.3,4.14,10.24,20.0,5.72,-3.03,20.0
14,-40,20,,not_expanded,20.0,above,bbw_contract,30.0,"WR(14,-40) SMA20 BBW:not_expanded ADXa20 bbw_contract",30,0.9265,70.0,0.94,1.85,20,2.6034,90.0,4.13,14.62,12.5,3.5,-2.88,
20,-50,20,,not_expanded,20.0,above,bbw_contract,30.0,"WR(20,-50) SMA20 BBW:not_expanded ADXa20 bbw_contract",29,1.0153,72.4,1.02,1.93,20,2.6412,90.0,4.13,14.82,12.6,3.54,-2.8,
14,-30,10,not_weak,not_expanded,20.0,above,fixed,,"WR(14,-30) SMA10 MFI:not_weak BBW:not_expanded ADXa20 fixed20",29,0.8553,62.1,0.7,1.43,20,4.4123,80.0,4.12,8.87,20.0,5.53,-3.2,20.0
30,-40,20,,not_expanded,20.0,above,sma_break,25.0,"WR(30,-40) SMA20 BBW:not_expanded ADXa20 sma_break",29,1.0488,82.8,1.15,2.09,20,2.4531,90.0,4.1,12.31,8.6,2.69,-2.45,
30,-50,20,not_weak,,20.0,above,bbw_contract,30.0,"WR(30,-50) SMA20 MFI:not_weak ADXa20 bbw_contract",29,1.6115,75.9,1.51,2.58,20,2.6893,80.0,4.1,8.42,12.4,3.68,-3.0,
30,-30,20,,not_expanded,20.0,above,sma_break,25.0,"WR(30,-30) SMA20 BBW:not_expanded ADXa20 sma_break",33,0.8152,81.8,0.99,1.93,22,2.7836,90.9,4.09,15.12,8.5,2.59,-2.39,
14,-40,10,not_weak,not_expanded,20.0,above,fixed,,"WR(14,-40) SMA10 MFI:not_weak BBW:not_expanded ADXa20 fixed20",28,0.5652,60.7,0.47,1.28,19,4.4751,78.9,4.08,8.58,20.0,5.45,-3.3,20.0
